TITULO,DESCRICAO,CATEGORIA
Preço da mensalidade,Preço da mensalidade com a bolsa é bem atrativo - A jantinha do lado de fora da faculdade é bem boa,Positivo
Desisti,Sistemas da unip não funcionam como deveriam e você que se vire - Equipamento para fazer carteirinha não funciona/não tem suprimento - Pessoal da coordenação de curso meio perdido - Um dos professores do primeiro semestre não tem didática,Negativo
"Otima administração, professores qualificados, boa estrutura e super pontuais",Alguns professores são super compreensivos e fazem a aula fluir de maneira que todos os alunos interajam e saibam de todos os assuntos. Eles nos dão muitas referencias de pesquisas para que possamos adquirir conhecimento dentro e fora da sala de aula. Informo também que a plataforma de comunicação entre aluno é professor é extremamente eficiente.,Positivo
Alguns alumnos um pouco excluidos,"Alguns professores não entende que alguns alunos vieram de escola pública e alguns não tem base das matérias que aplicadas em aula e isso nos deixam um pouco ""excluídos"".",Negativo
"Bons professores, estrutura razoavel.","Bons professores, estrutura bem grande, muitas salas e blocos. alunos que não conseguem a media 7 tem uma chance a mais pra não pegar DPs",Positivo
Cadeiras e ventiladores ruins,"Cadeiras e ventiladores ruins; app mobile do portal do aluno péssimo; secretária confusa ; pra que entra no 2 semestre fica perdido pq não tem suporte, Ninguém pra fazer integração.",Negativo
"Boas aulas, gosto do que faço""","Os professores sao bons, a estrutura é boa e bem distribuida, otiimaa comida e também, laboratórios de ultima geração ?",Positivo
"Quando as aulas acabam, ja vão fechando tudo e apagando todas as luzes","Quando as aulas acabam, ja vão fechando tudo e apagando todas as luzes, muitas vezes tem alunos fazendo pesquisas e trabalhos..isso me incomoda um pouco mas eu entendo a necessidade de cada trabalhador ir para sua casa e sua família. Considerem isso como uma observação ??",Negativo
Uma faculdade que te capacita,"Um ensino bom, com boa parte dos profissionais aptos a ensinar. Possuem uma boa assistência ao aluno quando precisar. Uma faculdade com ambientes bons para estudo, como biblioteca e espaços amplos para permanência.",Positivo
Grande passagem de vento,"Algumas salas não são bem localizadas em relação ao seu curso e assistência do mesmo. Por ser uma faculdade aberta em seus corredores, ha grande passagem de vento e nos dias frios são terríveis a saúde.",Negativo
"Melhor universidade e melhores professores, melhor estrutura","Temos computadores e internet disponíveis sempre que precisamos, biblioteca ampla, ótima estrutura, todos os funcionários excelentes, sem exceção de nenhum, ótima segurança e etc Indico sempre a faculdade",Positivo
pessoal que vai de onibus anda muito,"O estacionamento é muito grande e o pessoal que vai de onibus anda muito, os valores dos lanches são um tanto carinhos, podia ser mais barato e devis ter rampa para os cadeirantes, mas pelo menos tem elevador",Negativo
Ótima estrutura,"Estrutura excelente, com grandes espaços, biblioteca ótima, espaços interativos excelentes. Trazem palestras com frequência, e aulas super interessantes.",Positivo
A secretaria e alguns profesores acabam deixando a desejar.,A secretaria demora um tempo para responder às solicitações. Alguns professores não são tão bons e acabam deixando a desejar.,Negativo
Professores ótimos e salas espaçosas,"os professores são ótimos, os profissionais que trabalham na direção também, o site é acessível tanto por celular como por computador o material é de facil entendimento. As salas são espaçosas e climatizadas.",Positivo
Professores EAD deixam muito a desejar,"Meu curso é Semi Presencial os professores EAD deixam muito a desejar, não parecem se sentir a vontade e acabam não passando o conhecimento necessário, a estrutura deixa a desejar pois nós alunos precisamos de um lugar para ficar antes de entrarmos para sala de aula, tem pessoas que não tem tempo, um espaço para isso seria ótimo os alunos ficam nos corredores.",Negativo
Ótima estrutura e grande parte dos professores muito bem preparados,É sempre limpa e organizada Tem muitos laboratórios para todas as áreas E coordenadores atenciosos e qualificados principalmente para o curso de Arquitetura.,Positivo
As funcionárias da Secretaria são muito desorganizadas,As funcionárias da Secretaria são muito desorganizadas e as vezes mal educadas. Alguns professores mais antigos não têm muita versatilidade na hora de ensinar apesar da grande experiência falta um pouco de didática.,Negativo
ótimo lugar para se começar uma faculdade,"A unip é um ótimo lugar para se começar uma faculdade, eles são bem prestativos, o campi é maravilhoso, e enorme. eles atendem bem seus alunos e principalmente as pessoas que querem ingressar na faculdade.",Positivo
"Ambiente muito bom, os professores são excelentes","Ambiente muito bom, os professores são excelentes, atlética muito unida e proporciona uma experiência de fraternidade",Positivo
O único defeito PARA MIM é que fica longe de minha cidade,"A questão de assistência com o auxílio transporte, acredito que a faculdade poderia custear a locomoção do aluno",Negativo
ótimos professore e ótima estrutura,"Aulas maravilhosa, professores maravilhosos, ótima estrutura",Positivo
