ID,TEXTO,CATEGORIA
371683,"Olá, eu sou o professor Naldo e hoje nós vamos usar lentes esféricas construção de imagens, exercícios. Agora nós temos o objeto posicionado entre o ponto antiprincipal e o plano focal de uma lente delgada convergente Ok? Traçando os raios de luz, nós vamos ver que os raios de luz emergentes são paralelos. Isso é utilizado na construção de luneta, aliás, de lupas, ok? Objeto entre F e O, nós temos uma imagem virtual direita e maior, típica da lupa Nós também utilizamos a lente convergente para corrigir o problema da hipermetropia ou presbiopia, que é a dificuldade de enxergar de perto. ",Fisica
371682,"Olá, eu sou o professor Reinaldo e vamos falar sobre atrito. A força medida pelo dinamômetro e a velocidade escalar adquirida pelo bloco, em função do tempo, são dadas nos gráficos. O peso do corpo será de 50 newtons 5 vezes 10. Questão d: calcule o valor aproximado da distância percorrida pelo bloco entre os instantes 2 segundos e 5 segundos, aí nós temos que tomar um certo cuidado. Sendo a aceleração da gravidade igual 10, qual é o coeficiente de atrito dinâmico entre o mouse e o tapete. ",Fisica
371681,"Olá, eu sou o professor Reinaldo e estamos aqui para falar de atrito. Em um trecho retilíneo horizontal de uma rodovia e verifica que o último carro envolvido deixou uma marca de pneus resultante da freada 75 metros. Portanto ficamos da seguinte maneira. Massa do carro vezes aceleração. Resultante das forças. A máxima aceleração que o caminhão pode ter para que a caixa não deslize sobre a superfície que se apoia tem módulo igual a quanto? O coeficiente de atrito estático entre os blocos a e b montados como na figura vale zero cinco. ",Fisica
371680,"Olá, eu sou o professor Naldo e nós vamos Falar sobre Dioptro plano 1, exercícios. Então não cabe o comportamento de partícula. Então, vamos lá, nós temos, 1 errada, 2 errada, 4 correta, 8 errada, 16 correta, 4+16=20 Resposta então, 20. Na verdade, ele não está vendo o pássaro, está vendo a imagem virtual do pássaro fornecida pelo Dioptro plano Água, ar, ok? Qual seria entre as letras, a posição da imagem do peixe? ",Fisica
371679,"Olá, eu sou o professor Naldo e vamos a prismas ópticos 2, exercícios. Qual é o ângulo de emergência? Quais são as cores recebidas no anteparo, justificando. Então nós vamos encontrar aqui para ocorrer a reflexão total O índice refração tem que superar a √2 ok? Voltemos então a tabela, ok? Todos os raios de luz que têm índice de refração no vidro maior do que 1,41, portanto, sofrerão reflexão total e não chegarão no anteparo, São eles: verde, azul, anil e violeta. ",Fisica
371678,"Olá, eu sou professor Naldo e vamos às lentes esféricas, Exercícios. A do meio, a lente plano convexa e, finalmente a última, a lente côncavo convexa. A C:,os raios emergentes concentram-se no centro da lente. A distância focal desta lente, ok? Perfeito. A 4: o raio de luz paralelo ao eixo principal de uma lente delgada divergente refratasse na direção do foco, Portanto, correto. ",Fisica
371677,"Olá, eu sou o professor Naldo e vamos as lentes esféricas, equações de Gauss Exercício. Então vamos usar a equação de Gauss sobre 1/f=1/p+1/p'. Então ficará 1/f é =1/60+1/30 O que fará nós encontrarmos a posição focal igual a 20cm. Não se esqueça que é a imagem virtual. Então 3F, a posição focal da lente convergente F. Queremos calcular a distância entre objeto e a imagem. Poder-se-ia resolver a questão da seguinte maneira: quando 1/y é 0, 1/x vale 5, portanto, 1/f=1/5 e 1/f=5, aliás, e f=1/5 que é 0,2m. ",Fisica
371676,"Olá, eu sou o professor Naldo e vamos a prismas ópticos 1, exercícios. Exercício 2: nós temos aí um prisma, ok? Mínimo, ok? Então é uma representação do desvio mínimo sofrido por um raio de luz ao atravessar o prisma. Então esse índice de fração é maio do vidro para luz violeta. Sim, porque tem menor índice de refração. As velocidades da luz vermelha e violeta têm módulos iguais dentro do vidro. ",Fisica
371675,"Olá, eu sou o professor Naldo e nós vamos a Dioptro plano 2, exercícios. N do objeto vai ser infração do local em que está objeto. Se o índice de refração do local em que está o observador, água 4 terços, índice de refração do local em que está o pássaro, o ar 1 E que altura do poste é 4,5m. Então P'= 6m, posição aparente do pássaro. Então nós temos que N do objeto é índice de refração do ar, P=12 Índice de refração do observador, índice de refração da água 4 terços e P' nós não sabemos o valor. ",Fisica
371674,"Olá, eu sou o professor Naldo e vamos a lâmina de faces paralelas 1, exercícios. Sabe-se, que no Dioptro ar-vidro na incidência o ângulo extensa é θI e o ângulo de refração θR, ok? Uma formada pelo diamante, outra formada pelo vidro. Porque o diamante é mais refringente que o vidro. Então do ar para a água, o raio de luz desvia e aproxima-se da reta normal. ",Fisica
371673,"Olá, eu sou professor Naldo e vamos a lâmina de faces paralelas parte 2, exercícios. E refrata-se, afastando-se da reta normal de tal forma que esse raio de luz forma quarta normal novamente 60°. Para se calcular o ângulo de refração interno, que é a questão B, Basta aplicar a lei de Snell. Cujo índice de refração é 1,55, essa lâmina tem 0,6cm de espessura e a velocidade da luz no vácuo é dado igual a 3.10¹⁵km/s. 3.10⁸ por segundo, ok? V nós temos 3/1,55.10⁸m/s. A espessura da lâmina em metros 0,6.10-²m. Basta dividir 0,6 6 por 100 e o tempo nós não sabemos. Então, você tem ar vidro e, na parte de baixo, um espelho. ",Fisica
